Taille,Bubble,Insertion,Merge,Quick
100,0.0,0.0010039806365966797,0.0,0.0
500,0.006975889205932617,0.003986835479736328,0.0,0.0009968280792236328
1000,0.03687620162963867,0.01594829559326172,0.0009951591491699219,0.0009965896606445312
2000,0.13750362396240234,0.05984163284301758,0.0033571720123291016,0.002269744873046875
3000,0.3225972652435303,0.14313769340515137,0.0036573410034179688,0.004690885543823242
